dteday,hour_record_count
2012-10-29,1
2011-01-27,8
2012-10-30,11
2011-01-18,12
2011-01-26,16
2011-08-28,17
2011-08-27,18
2011-02-22,18
2011-03-10,22
2011-02-28,22
2011-01-03,22
2011-01-12,22
2011-01-11,22
2011-02-11,22
2011-01-06,23
2011-01-07,23
2011-01-25,23
2011-01-24,23
2011-01-23,23
2011-01-28,23
2011-02-01,23
2011-02-03,23
2011-01-29,23
2011-01-30,23
2011-02-09,23
2011-02-04,23
2011-02-13,23
2011-02-10,23
2011-01-22,23
2011-01-04,23
2011-01-19,23
2011-01-14,23
2011-02-23,23
2011-02-20,23
2011-02-16,23
2011-02-15,23
2011-02-27,23
2011-03-06,23
2011-02-25,23
2011-02-24,23
2011-03-13,23
2011-03-14,23
2011-03-15,23
2011-03-16,23
2011-03-18,23
2011-03-21,23
2011-03-07,23
2011-03-11,23
2011-03-27,23
2011-03-23,23
2011-04-11,23
2011-03-28,23
2011-09-06,23
2011-09-08,23
2011-09-12,23
2011-10-19,23
2011-11-28,23
2011-12-25,23
2011-12-26,23
2011-12-28,23
2012-01-02,23
2012-01-10,23
2011-01-05,23
2011-01-02,23
2012-02-06,23
2012-01-17,23
2012-02-20,23
2012-02-21,23
2012-03-11,23
2012-02-29,23
2012-04-11,23
2012-04-02,23
2012-11-08,23
2012-11-29,23
2012-12-24,23
2012-12-25,23
