dteday,missing_hours,missing_hour_count
2012-10-29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",23
2011-01-27,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",16
2012-10-30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13
2011-01-18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12
2011-01-26,"[3, 4, 18, 19, 20, 21, 22, 23]",8
2011-08-28,"[0, 1, 2, 3, 4, 5, 6]",7
2011-08-27,"[18, 19, 20, 21, 22, 23]",6
2011-02-22,"[0, 1, 2, 3, 4, 5]",6
2011-02-11,"[3, 4]",2
2011-01-03,"[2, 3]",2
2011-01-12,"[3, 4]",2
2011-01-11,"[3, 4]",2
2011-02-28,"[2, 4]",2
2011-03-10,"[3, 4]",2
2011-01-14,[4],1
2011-01-06,[3],1
2011-01-07,[3],1
2011-01-02,[5],1
2011-01-04,[3],1
2011-01-05,[3],1
2011-01-22,[5],1
2011-01-19,[3],1
2011-02-04,[4],1
2011-02-03,[4],1
2011-01-30,[6],1
2011-02-01,[4],1
2011-01-25,[3],1
2011-01-24,[2],1
2011-02-15,[3],1
2011-02-13,[5],1
2011-02-10,[3],1
2011-02-20,[5],1
2011-02-23,[4],1
2011-02-24,[4],1
2011-02-25,[4],1
2011-02-16,[2],1
2011-02-27,[5],1
2011-03-06,[5],1
2011-03-07,[2],1
2011-03-11,[4],1
2011-02-09,[4],1
2011-01-28,[4],1
2011-01-29,[5],1
2011-01-23,[4],1
2011-03-16,[2],1
2011-03-15,[3],1
2011-03-14,[4],1
2011-03-13,[2],1
2011-03-27,[5],1
2011-03-23,[4],1
2011-03-18,[4],1
2011-03-21,[4],1
2011-09-06,[1],1
2011-09-08,[2],1
2011-09-12,[3],1
2011-10-19,[3],1
2011-11-28,[2],1
2011-12-25,[4],1
2011-04-11,[3],1
2011-03-28,[4],1
2011-12-28,[4],1
2011-12-26,[3],1
2012-01-02,[3],1
2012-01-10,[3],1
2012-02-20,[4],1
2012-02-21,[3],1
2012-01-17,[3],1
2012-02-06,[3],1
2012-03-11,[2],1
2012-02-29,[4],1
2012-04-11,[4],1
2012-04-02,[3],1
2012-11-08,[3],1
2012-11-29,[3],1
2012-12-24,[4],1
2012-12-25,[3],1
