hr,observed_records_all,total_average_all,casual_average_all,registered_average_all,observed_records_complete,total_average_complete,casual_average_complete,registered_average_complete,total_difference_pct,casual_difference_pct,registered_difference_pct
0,726,53.89807162534435,10.158402203856749,43.739669421487605,655,57.621374045801524,10.911450381679389,46.70992366412214,6.908043846797618,7.413057316599818,6.7907560388999215
1,724,33.3756906077348,6.504143646408839,26.87154696132597,655,35.70229007633588,7.018320610687023,28.683969465648854,6.970940304863342,7.905375284294008,6.744764292622817
2,715,22.86993006993007,4.772027972027972,18.097902097902097,655,24.25648854961832,5.099236641221374,19.157251908396947,6.062801571533142,6.856805347985998,5.853439833878041
3,697,11.727403156384504,2.715925394548063,9.011477761836442,655,12.0412213740458,2.7938931297709924,9.24732824427481,2.675939536456125,2.87076130218604,2.6172231533122465
4,697,6.352941176470588,1.2539454806312769,5.098995695839311,655,6.549618320610687,1.299236641221374,5.250381679389313,3.0958439355385985,3.61189232623544,2.968937268833743
5,717,19.88981868898187,1.411436541143654,18.478382147838214,655,20.87786259541985,1.5129770992366411,19.364885496183206,4.967586290695125,7.1941284735841675,4.797516044707969
6,725,76.04413793103448,4.161379310344827,71.88275862068966,655,80.37862595419847,4.4931297709923665,75.8854961832061,5.699963391122921,7.972127410323697,5.56842508457147
7,727,212.0646492434663,11.055020632737277,201.009628610729,655,224.5786259541985,11.87175572519084,212.70687022900762,5.9010196915777255,7.387911064000746,5.819244430788557
8,727,359.01100412654745,21.679504814305364,337.3314993122421,655,377.26412213740457,23.17557251908397,354.0885496183206,5.084278142188394,6.900838914878799,4.967532039030773
9,727,219.30949105914718,30.891334250343878,188.4181568088033,655,230.07786259541984,33.20610687022901,196.87175572519084,4.910125633080087,7.4932749784330275,4.48661586524583
10,727,173.6685006877579,46.47730398899587,127.19119669876204,655,184.07480916030534,49.86259541984733,134.21221374045803,5.992052923435522,7.2837517246115935,5.520049519090907
11,727,208.1430536451169,59.54057771664374,148.60247592847318,655,220.92671755725192,63.861068702290076,157.06564885496184,6.14176821578255,7.256380692521572,5.6951762570646745
12,728,253.31593406593407,68.29395604395604,185.02197802197801,655,268.8137404580153,73.26870229007633,195.54503816793894,6.117975345383276,7.284314065681587,5.687464947926854
13,729,253.66117969821673,72.30864197530865,181.3525377229081,655,269.1862595419847,77.59389312977099,191.59236641221375,6.120400394825232,7.3092938963880805,5.646366363481099
14,729,240.94924554183814,75.5679012345679,165.38134430727024,655,255.6702290076336,80.9267175572519,174.74351145038167,6.109578568171662,7.091392291086499,5.660957215172346
15,729,251.2331961591221,74.90534979423869,176.3278463648834,655,266.230534351145,80.21374045801527,186.01679389312977,5.969489072823069,7.086797776605364,5.494848220511109
16,730,311.9835616438356,73.74520547945205,238.23835616438356,655,331.30381679389313,79.15114503816794,252.15267175572518,6.192715747028285,7.330564100498936,5.840501846705488
17,730,461.45205479452056,74.27397260273973,387.17808219178085,655,488.430534351145,79.83206106870229,408.59847328244274,5.846431774724173,7.483224972616497,5.5324389669484795
18,728,425.510989010989,61.120879120879124,364.3901098901099,655,449.7679389312977,65.79236641221374,383.975572519084,5.70066356610175,7.643030268095108,5.37486119886199
19,728,311.52335164835165,48.770604395604394,262.75274725274727,655,329.775572519084,52.69465648854962,277.08091603053435,5.859021731165597,8.04593697694444,5.453099511840508
20,728,226.03021978021977,36.23351648351648,189.7967032967033,655,239.73587786259543,39.18625954198473,200.54961832061068,6.063639674244596,8.149203679448352,5.66549093695146
21,728,172.31456043956044,28.255494505494507,144.05906593406593,655,182.85954198473283,30.598473282442747,152.2610687022901,6.119611435199092,8.292117402130863,5.693499895368
22,728,131.33516483516485,22.252747252747252,109.08241758241758,655,139.56946564885496,24.083969465648856,115.48549618320611,6.269684759618459,8.229196117236839,5.869945627076578
23,728,87.83104395604396,15.199175824175825,72.63186813186813,655,93.63053435114504,16.48854961832061,77.14198473282443,6.603007471940684,8.483182305805737,6.209556103896253
