hr,observed_records,average_hourly_rentals,median_hourly_rentals,casual_hourly_average,registered_hourly_average
0,726,53.89807162534435,40.0,10.158402203856749,43.739669421487605
1,724,33.3756906077348,20.0,6.504143646408839,26.87154696132597
2,715,22.86993006993007,11.0,4.772027972027972,18.097902097902097
3,697,11.727403156384504,6.0,2.715925394548063,9.011477761836442
4,697,6.352941176470588,6.0,1.2539454806312769,5.098995695839311
5,717,19.88981868898187,19.0,1.411436541143654,18.478382147838214
6,725,76.04413793103448,76.0,4.161379310344827,71.88275862068966
7,727,212.0646492434663,208.0,11.055020632737277,201.009628610729
8,727,359.01100412654745,385.0,21.679504814305364,337.3314993122421
9,727,219.30949105914718,216.0,30.891334250343878,188.4181568088033
10,727,173.6685006877579,147.0,46.47730398899587,127.19119669876204
11,727,208.1430536451169,180.0,59.54057771664374,148.60247592847318
12,728,253.31593406593407,229.0,68.29395604395604,185.02197802197801
13,729,253.66117969821673,224.0,72.30864197530865,181.3525377229081
14,729,240.94924554183814,212.0,75.5679012345679,165.38134430727024
15,729,251.2331961591221,227.0,74.90534979423869,176.3278463648834
16,730,311.9835616438356,304.5,73.74520547945205,238.23835616438356
17,730,461.45205479452056,475.0,74.27397260273973,387.17808219178085
18,728,425.510989010989,418.5,61.120879120879124,364.3901098901099
19,728,311.52335164835165,309.5,48.770604395604394,262.75274725274727
20,728,226.03021978021977,223.5,36.23351648351648,189.7967032967033
21,728,172.31456043956044,173.5,28.255494505494507,144.05906593406593
22,728,131.33516483516485,129.0,22.252747252747252,109.08241758241758
23,728,87.83104395604396,80.0,15.199175824175825,72.63186813186813
