hr,observed_records,casual_rentals,registered_rentals,total_rentals,casual_share_pct,registered_share_pct
0,726,7375,31755,39130,18.847431638129315,81.15256836187069
1,724,4709,19455,24164,19.48766760470121,80.51233239529878
2,715,3412,12940,16352,20.865949119373777,79.13405088062623
3,697,1893,6281,8174,23.15879618301933,76.84120381698068
4,697,874,3554,4428,19.73803071364047,80.26196928635953
5,717,1012,13249,14261,7.096276558446111,92.9037234415539
6,725,3017,52115,55132,5.472320975114271,94.52767902488573
7,727,8037,146134,154171,5.213042660422518,94.78695733957748
8,727,15761,245240,261001,6.038674181324976,93.96132581867502
9,727,22458,136980,159438,14.085726112971814,85.91427388702819
10,727,33789,92468,126257,26.762080518307897,73.2379194816921
11,727,43286,108034,151320,28.60560401797515,71.39439598202485
12,728,49718,134696,184414,26.959992191482208,73.0400078085178
13,729,52713,132206,184919,28.50599451651804,71.49400548348196
14,729,55089,120563,175652,31.36258055701045,68.63741944298954
15,729,54606,128543,183149,29.815068605343193,70.18493139465681
16,730,53834,173914,227748,23.637529198939177,76.36247080106082
17,730,54220,282640,336860,16.09570741554355,83.90429258445646
18,728,44496,265276,309772,14.36411296049998,85.63588703950002
19,728,35505,191284,226789,15.65552121134623,84.34447878865377
20,728,26378,138172,164550,16.030385900941962,83.96961409905803
21,728,20570,104875,125445,16.39762445693332,83.60237554306669
22,728,16200,79412,95612,16.943479897920763,83.05652010207923
23,728,11065,52876,63941,17.3050155612205,82.6949844387795
