workingday,hr,observed_records,casual_rentals,registered_rentals,total_rentals,day_type,casual_share_pct
0,0,230,3829,17055,20884,non_working_day,18.334610227925687
0,1,230,2876,13111,15987,non_working_day,17.98961656345781
0,2,228,2371,9752,12123,non_working_day,19.557865214880803
0,3,227,1465,4386,5851,non_working_day,25.038454964963254
0,4,227,514,1362,1876,non_working_day,27.398720682302773
0,5,222,383,1546,1929,non_working_day,19.854847071021254
0,6,229,875,3417,4292,non_working_day,20.386766076421246
0,7,231,1988,8039,10027,non_working_day,19.82646853495562
0,8,231,4718,19688,24406,non_working_day,19.331311972465787
0,9,231,10399,29246,39645,non_working_day,26.230293857989658
0,10,231,18311,40804,59115,non_working_day,30.975217795821703
0,11,231,24637,48201,72838,non_working_day,33.82437738543068
0,12,231,29163,55443,84606,non_working_day,34.46918658251188
0,13,231,31514,54587,86101,non_working_day,36.60120091520424
0,14,231,32246,51987,84233,non_working_day,38.28190851566488
0,15,231,31532,51354,82886,non_working_day,38.04261274521632
0,16,231,29710,51770,81480,non_working_day,36.46293568973981
0,17,231,25829,48911,74740,non_working_day,34.55846936044956
0,18,230,19371,45272,64643,non_working_day,29.96612162183067
0,19,230,15076,38209,53285,non_working_day,28.293140658721967
0,20,230,10756,29434,40190,non_working_day,26.762876337397362
0,21,230,8314,24360,32674,non_working_day,25.44530819611924
0,22,230,6453,20241,26694,non_working_day,24.173971679029
0,23,230,4402,15362,19764,non_working_day,22.272819267354787
1,0,496,3546,14700,18246,working_day,19.434396580072345
1,1,494,1833,6344,8177,working_day,22.416534181240063
1,2,487,1041,3188,4229,working_day,24.615748403877983
1,3,470,428,1895,2323,working_day,18.42445114076625
1,4,470,360,2192,2552,working_day,14.106583072100312
1,5,495,629,11703,12332,working_day,5.100551410963347
1,6,496,2142,48698,50840,working_day,4.213217938630999
1,7,496,6049,138095,144144,working_day,4.196497946497947
1,8,496,11043,225552,236595,working_day,4.667469726748241
1,9,496,12059,107734,119793,working_day,10.066531433389263
1,10,496,15478,51664,67142,working_day,23.052634714485716
1,11,496,18649,59833,78482,working_day,23.762136540862873
1,12,497,20555,79253,99808,working_day,20.594541519717858
1,13,498,21199,77619,98818,working_day,21.452569369952844
1,14,498,22843,68576,91419,working_day,24.98714709196119
1,15,498,23074,77189,100263,working_day,23.013474561902196
1,16,499,24124,122144,146268,working_day,16.49301282577187
1,17,499,28391,233729,262120,working_day,10.83129864184343
1,18,498,25125,220004,245129,working_day,10.249705257231906
1,19,498,20429,153075,173504,working_day,11.774368314275176
1,20,498,15622,108738,124360,working_day,12.561917015117402
1,21,498,12256,80515,92771,working_day,13.211024997035711
1,22,498,9747,59171,68918,working_day,14.142894454278998
1,23,498,6663,37514,44177,working_day,15.082508997894834
