year,mnth,month_name,days_observed,total_rentals,average_daily_rentals,median_daily_rentals,casual_daily_average,registered_daily_average
2011,1,january,31,38189,1231.9032258064517,1248.0,99.12903225806451,1132.774193548387
2011,2,february,28,48215,1721.9642857142858,1629.0,222.92857142857142,1499.0357142857142
2011,3,march,31,64045,2065.967741935484,2077.0,413.741935483871,1652.225806451613
2011,4,april,30,94870,3162.3333333333335,3226.5,744.8666666666667,2417.4666666666667
2011,5,may,31,135821,4381.322580645161,4451.0,1001.6129032258065,3379.7096774193546
2011,6,june,30,143512,4783.733333333334,4839.5,1020.4,3763.3333333333335
2011,7,july,31,141341,4559.387096774193,4541.0,1175.8709677419354,3383.516129032258
2011,8,august,31,136691,4409.387096774193,4602.0,930.3870967741935,3479.0
2011,9,september,30,127418,4247.266666666666,4584.5,884.8333333333334,3362.4333333333334
2011,10,october,31,123511,3984.2258064516127,4304.0,813.6129032258065,3170.6129032258063
2011,11,november,30,102167,3405.5666666666666,3631.0,519.8,2885.766666666667
2011,12,december,31,87323,2816.8709677419356,3068.0,272.51612903225805,2544.3548387096776
2012,1,january,31,96744,3120.7741935483873,3243.0,289.3225806451613,2831.451612903226
2012,2,february,29,103137,3556.448275862069,3777.0,300.7241379310345,3255.7241379310344
2012,3,march,31,164875,5318.548387096775,5382.0,1019.9354838709677,4298.612903225807
2012,4,april,30,174224,5807.466666666666,6214.5,1281.8666666666666,4525.6
2012,5,may,31,195865,6318.225806451613,6421.0,1426.9354838709678,4891.290322580645
2012,6,june,30,202830,6761.0,6988.0,1443.1333333333334,5317.866666666667
2012,7,july,31,203607,6567.967741935484,6685.0,1345.3225806451612,5222.645161290323
2012,8,august,31,214503,6919.451612903225,7148.0,1393.4516129032259,5526.0
2012,9,september,30,218573,7285.766666666666,7514.5,1459.2666666666667,5826.5
2012,10,october,31,198841,6414.225806451613,7282.0,1114.1290322580646,5300.096774193548
2012,11,november,30,152664,5088.8,5319.0,700.3,4388.5
2012,12,december,31,123713,3990.7419354838707,4649.0,427.258064516129,3563.483870967742
